gene,pcc,n_units,pcc_fold00_A,pcc_fold01_B,pcc_fold02_C,pcc_fold03_D,pcc_fold04_E,pcc_fold05_F,pcc_fold06_G,pcc_fold07_H
BCL2L12,0.07269103667931631,8,0.03636396676301956,0.14835068583488464,0.1526210904121399,0.07679865509271622,-0.0313081368803978,-0.005105828400701284,0.08923953026533127,0.114568330347538
BGN,-0.0467278235591948,8,-0.07681788504123688,-0.19834347069263458,0.06289881467819214,-0.05101969838142395,-0.034439340233802795,-0.06677351891994476,0.06175430491566658,-0.07108179479837418
BICDL1,0.06582056824117899,8,0.039764851331710815,0.19634835422039032,0.09082719683647156,0.03984082117676735,-0.03384951502084732,0.027910102158784866,0.038084037601947784,0.12763869762420654
BIN3,0.07353222627716605,8,-0.0013063958613201976,0.17143921554088593,0.08788630366325378,0.0772683247923851,0.012018672190606594,-0.006746021099388599,0.08025659620761871,0.16744111478328705
BIRC2,0.07507796492427588,8,0.03172358125448227,0.028292622417211533,0.046142540872097015,0.20192581415176392,-0.03426042199134827,0.02218874916434288,0.1342766433954239,0.17033419013023376
BIRC5,0.10663132177432999,8,-0.006782941985875368,0.18965309858322144,0.16342370212078094,0.2127576768398285,-0.017941199243068695,-0.014224126935005188,0.1767629086971283,0.14940145611763
BLVRA,0.13351043197326362,8,0.024656489491462708,0.3698919415473938,0.15099041163921356,0.24276494979858398,-0.03342623636126518,0.018071362748742104,0.21261583268642426,0.08251870423555374
BOK,0.016386246861657128,8,-0.0037415476981550455,0.0033792993053793907,0.04351559281349182,0.07091127336025238,-0.039335403591394424,-0.03561857342720032,0.07281874865293503,0.01916058547794819
BOLA3,0.05286782302209758,8,0.045787397772073746,0.013846173882484436,0.056682221591472626,0.08885137736797333,-0.022488761693239212,-0.00035783855128102005,0.14546507596969604,0.09515693783760071
BRD9,0.12647818762343377,8,0.03165547177195549,0.3162655830383301,0.17253413796424866,0.16773492097854614,-0.014071785844862461,0.022989314049482346,0.13529939949512482,0.17941845953464508
BRF1,0.10549023246858269,8,0.02646520733833313,0.22650153934955597,0.18460680544376373,0.14899931848049164,-0.003254532814025879,-0.015345240943133831,0.13320796191692352,0.14274080097675323
BRF2,0.05947679973905906,8,0.013053586706519127,0.014978294260799885,0.08082312345504761,0.164520725607872,0.0482168048620224,0.005114540923386812,0.08237922191619873,0.06672810018062592
