gene,arm1_colour_colour,arm2_colour_gray,arm3_gray_gray,delta_arm3_arm1,delta_arm2_arm1
ZFAND3,0.441512,0.407517,0.451990,0.010479,-0.033995
ZFP36,0.603125,0.544375,0.592962,-0.010162,-0.058749
ZFPL1,0.335293,0.293476,0.327998,-0.007295,-0.041818
ZFR,0.375839,0.349066,0.378401,0.002562,-0.026774
ZG16B,0.395470,0.347865,0.380853,-0.014617,-0.047605
ZMAT5,0.476130,0.432823,0.477967,0.001837,-0.043306
ZMYND19,0.462974,0.395168,0.455341,-0.007633,-0.067806
ZMYND8,0.359729,0.316177,0.353902,-0.005827,-0.043552
ZNF217,0.400783,0.344533,0.395596,-0.005187,-0.056250
ZNF337,0.378354,0.343135,0.360227,-0.018128,-0.035219
ZNF33B,0.375445,0.323820,0.371134,-0.004311,-0.051625
ZNF362,0.259090,0.220194,0.253485,-0.005604,-0.038896
ZNF524,0.264628,0.257567,0.249233,-0.015395,-0.007061
ZNF592,0.294936,0.270554,0.276850,-0.018086,-0.024382
ZNF644,0.249624,0.230831,0.242842,-0.006782,-0.018793
ZNF668,0.416945,0.362194,0.413337,-0.003607,-0.054751
ZNF771,0.285831,0.236832,0.275210,-0.010622,-0.048999
ZNF787,0.370587,0.335800,0.381380,0.010793,-0.034787
ZNF791,0.138727,0.127892,0.137904,-0.000822,-0.010835
ZNF83,0.414722,0.352293,0.413678,-0.001044,-0.062429
ZNF91,0.149507,0.102036,0.155983,0.006476,-0.047471
ZNRF1,0.399642,0.386456,0.393719,-0.005922,-0.013186
ZSWIM8,0.471537,0.426715,0.474253,0.002716,-0.044822
